dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
de-DE_DT1,1l_de-DE_male-DT1/Vorherigen Titel abspielen.wav,realtime,de-DE,4.2,Vorherigen Titel abspielen,Vorherigen Titel abspielen.,0.0,0,0,0,0,3,2108.1,-483.4,456.9,456.9,realtime,1.22,3.26,none,1.22,3.26,,
de-DE_DT1,1l_de-DE_male-DT1/Vorherigen Titel abspielen.wav,realtime_refine,de-DE,4.2,Vorherigen Titel abspielen,Vorherigen Titel abspielen.,0.0,0,0,0,0,3,1619.4,117.9,1138.4,1138.4,realtime,1.22,3.26,none,1.26,3.18,,
de-DE_DT1,1l_de-DE_male-DT1/Vorherigen Titel abspielen.wav,fast_mai,de-DE,4.2,Vorherigen Titel abspielen,Vorherigen Titel abschließen.,0.3333,1,0,0,1,3,4211.1,410.7,951.3,451.3,realtime,1.22,3.26,none,,,3.76,
de-DE_DT1,1l_de-DE_male-DT1/Vorherigen Titel abspielen.wav,fast_llm,de-DE,4.2,Vorherigen Titel abspielen,Vorherigen Titel abspielen,0.0,0,0,0,0,3,4286.0,485.7,1025.9,1055.9,realtime,1.22,3.26,none,,,3.76,
de-DE_DT1,1l_de-DE_male-DT1/Vorherigen Titel abspielen.wav,fast_default,de-DE,4.2,Vorherigen Titel abspielen,vorherigen Titel abspielen,0.0,0,0,0,0,3,4339.8,538.9,1079.2,1139.2,realtime,1.22,3.26,none,,,3.76,
de-DE_DT1,1l_de-DE_female-DT1/Autofenster halb öffnen.wav,realtime,de-DE,6.34,Autofenster halb öffnen,Autofenster halt öffnen.,0.3333,1,0,0,1,3,1578.9,-2196.5,743.9,743.9,realtime,1.78,2.9,trim_last,1.78,3.46,,
de-DE_DT1,1l_de-DE_female-DT1/Autofenster halb öffnen.wav,realtime_refine,de-DE,6.34,Autofenster halb öffnen,Autofenster halb öffnen,0.0000,0,0,0,0,3,1255.8,-1781.4,1219.0,1219.0,realtime,1.78,2.9,trim_last,1.8,3.4,,
de-DE_DT1,1l_de-DE_female-DT1/Autofenster halb öffnen.wav,fast_mai,de-DE,6.34,Autofenster halb öffnen,Autofenster halb öffnen.,0.0000,0,0,0,0,3,3855.2,454.8,955.2,455.2,realtime,1.78,2.9,trim_last,,,3.4,
de-DE_DT1,1l_de-DE_female-DT1/Autofenster halb öffnen.wav,fast_llm,de-DE,6.34,Autofenster halb öffnen,Autofenster halb öffnen.,0.0000,0,0,0,0,3,3898.0,497.5,998.0,498.0,realtime,1.78,2.9,trim_last,,,3.4,
de-DE_DT1,1l_de-DE_female-DT1/Autofenster halb öffnen.wav,fast_default,de-DE,6.34,Autofenster halb öffnen,Autofenster halb öffnen.,0.0000,0,0,0,0,3,3959.8,559.5,1059.9,599.9,realtime,1.78,2.9,trim_last,,,3.4,
de-DE_DT1,1l_de-DE_male-DT1/Scheinwerfer auf dritte Stufe einstellen.wav,realtime,de-DE,6.15,Scheinwerfer auf dritte Stufe einstellen,Feinwerfer auf dritte Stufe einstellen.,0.2,1,0,0,1,5,1760.6,-647.8,922.5,922.5,realtime,1.71,4.63,none,1.71,4.63,,
de-DE_DT1,1l_de-DE_male-DT1/Scheinwerfer auf dritte Stufe einstellen.wav,realtime_refine,de-DE,6.15,Scheinwerfer auf dritte Stufe einstellen,Scheinwerfer auf dritte Stufe einstellen.,0.0,0,0,0,0,5,1534.9,-478.3,1132.2,1132.2,realtime,1.71,4.63,none,1.75,4.59,,
