dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
en-GB_DT1,1l_en-GB_male-DT1/Play the previous song.wav,realtime,en-GB,3.97,Play the previous song,Play the previous song.,0.0,0,0,0,0,4,1611.7,-916.2,534.5,534.5,realtime,1.07,2.55,none,1.07,2.55,,
en-GB_DT1,1l_en-GB_male-DT1/Play the previous song.wav,realtime_refine,en-GB,3.97,Play the previous song,Play the previous song.,0.0,0,0,0,0,4,1640.0,-469.3,1181.1,1181.1,realtime,1.07,2.55,none,1.03,2.35,,
en-GB_DT1,1l_en-GB_male-DT1/Play the previous song.wav,fast_llm,en-GB,3.97,Play the previous song,Play the previous song.,0.0,0,0,0,0,4,3552.2,452.1,1002.2,1202.2,realtime,1.07,2.55,none,,,3.05,
en-GB_DT1,1l_en-GB_male-DT1/Play the previous song.wav,fast_default,en-GB,3.97,Play the previous song,Play the previous song.,0.0,0,0,0,0,4,3672.2,572.2,1122.4,1352.4,realtime,1.07,2.55,none,,,3.05,
en-GB_DT1,1l_en-GB_male-DT1/Play the previous song.wav,fast_mai,en-GB,3.97,Play the previous song,Play the previous song.,0.0,0,0,0,0,4,3700.2,599.6,1150.4,650.4,realtime,1.07,2.55,none,,,3.05,
en-GB_DT1,1l_en-GB_female-DT1/Can you set the voice volume to the minimum.wav,realtime,en-GB,4.28,Can you set the voice volume to the minimum,Can you search the voice volume to the minimum?,0.1111,1,0,0,1,9,1599.9,325.0,505.5,505.5,realtime,1.16,4.12,none,1.16,4.12,,
en-GB_DT1,1l_en-GB_female-DT1/Can you set the voice volume to the minimum.wav,realtime_refine,en-GB,4.28,Can you set the voice volume to the minimum,Can you set the voice volume to the minimum?,0.0,0,0,0,0,9,1610.0,668.0,1008.6,1008.6,realtime,1.16,4.12,none,1.16,3.96,,
en-GB_DT1,1l_en-GB_female-DT1/Can you set the voice volume to the minimum.wav,fast_mai,en-GB,4.28,Can you set the voice volume to the minimum,Can you set the voice volume to the minimum?,0.0,0,0,0,0,9,4770.0,469.6,650.2,490.2,realtime,1.16,4.12,none,,,4.62,
en-GB_DT1,1l_en-GB_female-DT1/Can you set the voice volume to the minimum.wav,fast_llm,en-GB,4.28,Can you set the voice volume to the minimum,Can you set the voice volume to the minimum?,0.0,0,0,0,0,9,4780.8,480.3,660.9,830.9,realtime,1.16,4.12,none,,,4.62,
en-GB_DT1,1l_en-GB_female-DT1/Can you set the voice volume to the minimum.wav,fast_default,en-GB,4.28,Can you set the voice volume to the minimum,Can you set the voice volume to the minimum?,0.0,0,0,0,0,9,4872.2,571.9,752.2,832.2,realtime,1.16,4.12,none,,,4.62,
