dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
fr-FR_DT1,1l_fr-FR_male-DT1/Monte légèrement la hauteur de l’ATH.wav,realtime,fr-FR,7.3,Monte légèrement la hauteur de l’ATH,Montre légèrement la hauteur de la page.,0.4286,1,0,0,3,7,1610.7,-1082.5,858.0,858.0,realtime,2.88,5.0,trim_both,2.36,5.36,,
fr-FR_DT1,1l_fr-FR_male-DT1/Monte légèrement la hauteur de l’ATH.wav,realtime_refine,fr-FR,7.3,Monte légèrement la hauteur de l’ATH,Montre légèrement la hauteur de l'ath.,0.1429,1,0,0,1,7,1617.5,-477.0,1433.6,1433.6,realtime,2.88,5.0,trim_both,2.35,5.39,,
fr-FR_DT1,1l_fr-FR_male-DT1/Monte légèrement la hauteur de l’ATH.wav,fast_llm,fr-FR,7.3,Monte légèrement la hauteur de l’ATH,Montre légèrement la hauteur de l'a. th.,0.4286,1,1,0,2,7,6002.0,501.7,1002.3,612.3,realtime,2.88,5.0,trim_both,,,5.5,
fr-FR_DT1,1l_fr-FR_male-DT1/Monte légèrement la hauteur de l’ATH.wav,fast_mai,fr-FR,7.3,Monte légèrement la hauteur de l’ATH,Montre légèrement la hauteur de l'ATH.,0.1429,1,0,0,1,7,5964.0,463.8,964.2,464.2,realtime,2.88,5.0,trim_both,,,5.5,
fr-FR_DT1,1l_fr-FR_male-DT1/Monte légèrement la hauteur de l’ATH.wav,fast_default,fr-FR,7.3,Monte légèrement la hauteur de l’ATH,Montre légèrement la hauteur de l'ath.,0.1429,1,0,0,1,7,6110.7,610.2,1110.8,750.8,realtime,2.88,5.0,trim_both,,,5.5,
fr-FR_DT1,1l_fr-FR_female-DT1/Coupe la climatisation pour l’avant.wav,realtime,fr-FR,7.53,Coupe la climatisation pour l’avant,La climatisation pour l'avant.,0.1667,1,0,1,0,6,1490.2,-1383.5,957.4,957.4,realtime,3.18,4.74,trim_last,3.18,5.26,,
fr-FR_DT1,1l_fr-FR_female-DT1/Coupe la climatisation pour l’avant.wav,realtime_refine,fr-FR,7.53,Coupe la climatisation pour l’avant,La climatisation pour l'avant.,0.1667,1,0,1,0,6,1433.9,84.6,2485.6,2485.6,realtime,3.18,4.74,trim_last,3.24,5.2,,
fr-FR_DT1,1l_fr-FR_female-DT1/Coupe la climatisation pour l’avant.wav,fast_llm,fr-FR,7.53,Coupe la climatisation pour l’avant,La climatisation pour l'avant.,0.1667,1,0,1,0,6,5810.1,509.3,1070.1,580.1,realtime,3.18,4.74,trim_last,,,5.24,
fr-FR_DT1,1l_fr-FR_female-DT1/Coupe la climatisation pour l’avant.wav,fast_mai,fr-FR,7.53,Coupe la climatisation pour l’avant,La climatisation pour l'avant.,0.1667,1,0,1,0,6,5808.2,508.1,1068.3,568.3,realtime,3.18,4.74,trim_last,,,5.24,
fr-FR_DT1,1l_fr-FR_female-DT1/Coupe la climatisation pour l’avant.wav,fast_default,fr-FR,7.53,Coupe la climatisation pour l’avant,La climatisation pour l'avant.,0.1667,1,0,1,0,6,5895.7,595.3,1155.8,695.8,realtime,3.18,4.74,trim_last,,,5.24,
fr-FR_DT1,1l_fr-FR_male-DT1/Régle le volume de la navigation sur 5.wav,realtime,fr-FR,7.22,Régle le volume de la navigation sur 5,Très bien le volume de la navigation sur scène.,0.3750,1,1,0,2,8,1316.0,-1081.7,878.5,878.5,realtime,2.86,5.34,none,2.86,5.34,,
fr-FR_DT1,1l_fr-FR_male-DT1/Régle le volume de la navigation sur 5.wav,realtime_refine,fr-FR,7.22,Régle le volume de la navigation sur 5,Très bien le volume de la navigation sur sein.,0.3750,1,1,0,2,8,1373.1,-635.1,1315.3,1315.3,realtime,2.86,5.34,none,2.79,5.35,,
fr-FR_DT1,1l_fr-FR_male-DT1/Régle le volume de la navigation sur 5.wav,fast_mai,fr-FR,7.22,Régle le volume de la navigation sur 5,Règle le volume de la navigation sur 5.,0.1250,1,0,0,1,8,6324.0,423.8,984.0,484.0,realtime,2.86,5.34,none,,,5.84,
fr-FR_DT1,1l_fr-FR_male-DT1/Régle le volume de la navigation sur 5.wav,fast_llm,fr-FR,7.22,Régle le volume de la navigation sur 5,Régle le volume de la navigation sur 5.,0.0000,0,0,0,0,8,6418.4,518.2,1078.5,1108.5,realtime,2.86,5.34,none,,,5.84,
fr-FR_DT1,1l_fr-FR_male-DT1/Régle le volume de la navigation sur 5.wav,fast_default,fr-FR,7.22,Régle le volume de la navigation sur 5,Règle le volume de la navigation sur serre.,0.2500,1,0,0,2,8,6507.9,607.9,1168.1,1148.1,realtime,2.86,5.34,none,,,5.84,
fr-FR_DT1,1l_fr-FR_female-DT1/Active la fermeture automatique des vitres à la fermeture du véhicule.wav,realtime,fr-FR,8.74,Active la fermeture automatique des vitres à la fermeture du véhicule,Active la fermeture automatique des vitres à la fermeture du véhicule.,0.0000,0,0,0,0,11,1357.9,-1370.6,909.8,909.8,realtime,2.04,6.52,none,2.04,6.52,,
fr-FR_DT1,1l_fr-FR_female-DT1/Active la fermeture automatique des vitres à la fermeture du véhicule.wav,realtime_refine,fr-FR,8.74,Active la fermeture automatique des vitres à la fermeture du véhicule,Active la fermeture automatique des vitres à la fermeture du véhicule.,0.0000,0,0,0,0,11,1166.1,-1063.2,1227.3,1227.3,realtime,2.04,6.52,none,2.11,6.51,,
fr-FR_DT1,1l_fr-FR_female-DT1/Active la fermeture automatique des vitres à la fermeture du véhicule.wav,fast_llm,fr-FR,8.74,Active la fermeture automatique des vitres à la fermeture du véhicule,Active la fermeture automatique des vitres à la fermeture du véhicule.,0.0000,0,0,0,0,11,7657.1,556.5,1137.2,1147.2,realtime,2.04,6.52,none,,,7.02,
fr-FR_DT1,1l_fr-FR_female-DT1/Active la fermeture automatique des vitres à la fermeture du véhicule.wav,fast_mai,fr-FR,8.74,Active la fermeture automatique des vitres à la fermeture du véhicule,Active la fermeture automatique des vitres à la fermeture du véhicule.,0.0000,0,0,0,0,11,7778.3,678.1,1258.4,758.4,realtime,2.04,6.52,none,,,7.02,
fr-FR_DT1,1l_fr-FR_female-DT1/Active la fermeture automatique des vitres à la fermeture du véhicule.wav,fast_default,fr-FR,8.74,Active la fermeture automatique des vitres à la fermeture du véhicule,Active la fermeture automatique des vitres à la fermeture du véhicule.,0.0000,0,0,0,0,11,7775.9,675.4,1256.1,1256.1,realtime,2.04,6.52,none,,,7.02,
fr-FR_DT1,1l_fr-FR_female-DT1/Monte le volume de la navigation de 3 niveaux.wav,realtime,fr-FR,6.78,Monte le volume de la navigation de 3 niveaux,Monte le volume de la navigation de 3 niveaux.,0.0,0,0,0,0,9,1234.5,-1098.1,922.4,922.4,realtime,2.14,4.78,none,2.14,4.78,,
fr-FR_DT1,1l_fr-FR_female-DT1/Monte le volume de la navigation de 3 niveaux.wav,realtime_refine,fr-FR,6.78,Monte le volume de la navigation de 3 niveaux,Monte le volume de la navigation de 3 niveaux.,0.0,0,0,0,0,9,1292.5,-739.9,1060.9,1060.9,realtime,2.14,4.78,none,2.08,5.0,,
fr-FR_DT1,1l_fr-FR_female-DT1/Monte le volume de la navigation de 3 niveaux.wav,fast_llm,fr-FR,6.78,Monte le volume de la navigation de 3 niveaux,Monte le volume de la navigation de 3 niveaux.,0.0,0,0,0,0,9,5836.3,535.5,1056.4,766.4,realtime,2.14,4.78,none,,,5.28,
fr-FR_DT1,1l_fr-FR_female-DT1/Monte le volume de la navigation de 3 niveaux.wav,fast_mai,fr-FR,6.78,Monte le volume de la navigation de 3 niveaux,Monte le volume de la navigation de trois niveaux.,0.1111,1,0,0,1,9,5817.1,516.8,1037.2,537.2,realtime,2.14,4.78,none,,,5.28,
fr-FR_DT1,1l_fr-FR_female-DT1/Monte le volume de la navigation de 3 niveaux.wav,fast_default,fr-FR,6.78,Monte le volume de la navigation de 3 niveaux,Monte le volume de la navigation de 3 niveaux.,0.0,0,0,0,0,9,5915.9,615.9,1136.0,916.0,realtime,2.14,4.78,none,,,5.28,
fr-FR_DT1,1l_fr-FR_female-DT1/Passe en mode annonces concises.wav,realtime,fr-FR,7.39,Passe en mode annonces concises,Passe en mode annonce concise.,0.4,1,0,0,2,5,1254.8,-1900.5,709.8,709.8,realtime,2.71,4.79,none,2.71,4.79,,
fr-FR_DT1,1l_fr-FR_female-DT1/Passe en mode annonces concises.wav,realtime_refine,fr-FR,7.39,Passe en mode annonces concises,Passe en mode annonce concise.,0.4,1,0,0,2,5,1259.9,-1586.0,1074.5,1074.5,realtime,2.71,4.79,none,2.7,4.74,,
fr-FR_DT1,1l_fr-FR_female-DT1/Passe en mode annonces concises.wav,fast_llm,fr-FR,7.39,Passe en mode annonces concises,Passe en mode annonce concise.,0.4,1,0,0,2,5,5783.6,483.2,993.6,1073.6,realtime,2.71,4.79,none,,,5.29,
fr-FR_DT1,1l_fr-FR_female-DT1/Passe en mode annonces concises.wav,fast_mai,fr-FR,7.39,Passe en mode annonces concises,Passe en mode annonce concise.,0.4,1,0,0,2,5,5786.0,485.3,995.9,495.9,realtime,2.71,4.79,none,,,5.29,
fr-FR_DT1,1l_fr-FR_female-DT1/Passe en mode annonces concises.wav,fast_default,fr-FR,7.39,Passe en mode annonces concises,Passe en mode annonce concise.,0.4,1,0,0,2,5,5932.1,631.5,1142.1,1212.1,realtime,2.71,4.79,none,,,5.29,
fr-FR_DT1,1l_fr-FR_female-DT1/Ouvre la vitre arrière droite à moitié.wav,realtime,fr-FR,8.03,Ouvre la vitre arrière droite à moitié,Ouvre la vitre arrière droite à moitié.,0.0000,0,0,0,0,7,1232.4,-1719.6,820.7,820.7,realtime,2.84,5.56,none,2.84,5.56,,
fr-FR_DT1,1l_fr-FR_female-DT1/Ouvre la vitre arrière droite à moitié.wav,realtime_refine,fr-FR,8.03,Ouvre la vitre arrière droite à moitié,Merci.Ouvre la vitre arrière droite à moitié.,0.1429,1,1,0,0,7,3872.1,-1360.4,1109.9,1109.9,realtime,2.84,5.56,none,0.2,5.63,,
fr-FR_DT1,1l_fr-FR_female-DT1/Ouvre la vitre arrière droite à moitié.wav,fast_llm,fr-FR,8.03,Ouvre la vitre arrière droite à moitié,Ouvre la vitre arrière droite à moitié.,0.0000,0,0,0,0,7,6637.1,536.4,1077.2,927.2,realtime,2.84,5.56,none,,,6.06,
fr-FR_DT1,1l_fr-FR_female-DT1/Ouvre la vitre arrière droite à moitié.wav,fast_mai,fr-FR,8.03,Ouvre la vitre arrière droite à moitié,Ouvre la vitre arrière droite à moitié.,0.0000,0,0,0,0,7,6637.0,536.8,1077.2,578.2,realtime,2.84,5.56,none,,,6.06,
fr-FR_DT1,1l_fr-FR_female-DT1/Ouvre la vitre arrière droite à moitié.wav,fast_default,fr-FR,8.03,Ouvre la vitre arrière droite à moitié,Ouvre la vitre arrière droite à moitié.,0.0000,0,0,0,0,7,6735.0,635.1,1175.1,1135.1,realtime,2.84,5.56,none,,,6.06,
fr-FR_DT1,1l_fr-FR_female-DT1/Diminue la ventilation du siège.wav,realtime,fr-FR,8.0,Diminue la ventilation du siège,Diminue la ventilation du siège.,0.0000,0,0,0,0,5,1232.5,-2322.0,658.8,658.8,realtime,2.74,5.02,none,2.74,5.02,,
fr-FR_DT1,1l_fr-FR_female-DT1/Diminue la ventilation du siège.wav,realtime_refine,fr-FR,8.0,Diminue la ventilation du siège,Diminue la ventilation du siège.,0.0000,0,0,0,0,5,1237.7,-2000.7,1029.9,1029.9,realtime,2.74,5.02,none,2.73,4.97,,
fr-FR_DT1,1l_fr-FR_female-DT1/Diminue la ventilation du siège.wav,fast_mai,fr-FR,8.0,Diminue la ventilation du siège,Diminue la ventilation du siège.,0.0000,0,0,0,0,5,6075.7,475.2,1055.8,556.8,realtime,2.74,5.02,none,,,5.52,
fr-FR_DT1,1l_fr-FR_female-DT1/Diminue la ventilation du siège.wav,fast_llm,fr-FR,8.0,Diminue la ventilation du siège,Diminue la ventilation du siège.,0.0000,0,0,0,0,5,6073.6,473.6,1053.7,1083.7,realtime,2.74,5.02,none,,,5.52,
fr-FR_DT1,1l_fr-FR_female-DT1/Diminue la ventilation du siège.wav,fast_default,fr-FR,8.0,Diminue la ventilation du siège,Diminue la ventilation du siège.,0.0000,0,0,0,0,5,6199.8,599.5,1179.9,1239.9,realtime,2.74,5.02,none,,,5.52,
fr-FR_DT1,1l_fr-FR_female-DT1/Baisse le volume.wav,realtime,fr-FR,5.95,Baisse le volume,Baisse le volume.,0.0,0,0,0,0,3,1213.9,-1728.3,601.9,601.9,realtime,2.35,3.67,none,2.35,3.67,,
fr-FR_DT1,1l_fr-FR_female-DT1/Baisse le volume.wav,realtime_refine,fr-FR,5.95,Baisse le volume,Baisse le volume.,0.0,0,0,0,0,3,1238.5,-1277.6,1252.7,1252.7,realtime,2.35,3.67,none,2.35,3.47,,
fr-FR_DT1,1l_fr-FR_female-DT1/Baisse le volume.wav,fast_llm,fr-FR,5.95,Baisse le volume,Baisse le volume.,0.0,0,0,0,0,3,4636.7,436.4,966.9,1166.9,realtime,2.35,3.67,none,,,4.17,
