dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
it-IT_DT1,1l_it-IT_male-DT1/Apri Easter Egg.wav,realtime,it-IT,2.54,Apri Easter Egg,Apri easter egg.,0.0,0,0,0,0,3,1490.2,298.9,429.1,429.1,realtime,1.27,2.47,none,1.27,2.47,,
it-IT_DT1,1l_it-IT_male-DT1/Apri Easter Egg.wav,realtime_refine,it-IT,2.54,Apri Easter Egg,Apri Easter Egg.,0.0,0,0,0,0,3,931.7,609.9,700.1,700.1,realtime,1.27,2.47,none,1.23,2.51,,
it-IT_DT1,1l_it-IT_male-DT1/Apri Easter Egg.wav,fast_llm,it-IT,2.54,Apri Easter Egg,Apri Easter egg.,0.0,0,0,0,0,3,3040.2,438.2,570.1,530.1,realtime,1.27,2.47,none,,,2.97,
it-IT_DT1,1l_it-IT_male-DT1/Apri Easter Egg.wav,fast_mai,it-IT,2.54,Apri Easter Egg,Apri Easter Egg.,0.0,0,0,0,0,3,3047.2,445.2,577.1,507.1,realtime,1.27,2.47,none,,,2.97,
it-IT_DT1,1l_it-IT_male-DT1/Apri Easter Egg.wav,fast_default,it-IT,2.54,Apri Easter Egg,Apri Easter Egg.,0.0,0,0,0,0,3,3169.8,569.4,699.7,689.7,realtime,1.27,2.47,none,,,2.97,
it-IT_DT1,1l_it-IT_male-DT1/Apri Easter Egg.wav,whisper_v3,it-IT,2.54,Apri Easter Egg,Apri Easter Egg.,0.0,0,0,0,0,3,3175.4,572.0,704.3,694.3,realtime,1.27,2.47,none,,,2.97,
it-IT_DT1,2l_it-IT_male-DT1/Chiudi Lettore multimediale per il passeggero.wav,realtime,it-IT,4.09,Chiudi Lettore multimediale per il passeggero,Chiudi lettore multimediale per il passeggero.,0.0,0,0,0,0,6,1491.1,322.6,473.0,473.0,realtime,1.27,3.95,none,1.27,3.95,,
it-IT_DT1,2l_it-IT_male-DT1/Chiudi Lettore multimediale per il passeggero.wav,realtime_refine,it-IT,4.09,Chiudi Lettore multimediale per il passeggero,Chiudi lettore multimediale per il passeggero.,0.0,0,0,0,0,6,946.3,831.1,1061.5,1061.5,realtime,1.27,3.95,none,1.23,3.87,,
it-IT_DT1,2l_it-IT_male-DT1/Chiudi Lettore multimediale per il passeggero.wav,fast_llm,it-IT,4.09,Chiudi Lettore multimediale per il passeggero,Chiudi lettore multimediale per il passeggero.,0.0,0,0,0,0,6,4588.2,487.7,638.2,718.2,realtime,1.27,3.95,none,,,4.45,
it-IT_DT1,2l_it-IT_male-DT1/Chiudi Lettore multimediale per il passeggero.wav,whisper_v3,it-IT,4.09,Chiudi Lettore multimediale per il passeggero,Chiudi lettore multimediale per il passeggero.,0.0,0,0,0,0,6,4726.7,626.5,776.7,886.7,realtime,1.27,3.95,none,,,4.45,
it-IT_DT1,2l_it-IT_male-DT1/Chiudi Lettore multimediale per il passeggero.wav,fast_default,it-IT,4.09,Chiudi Lettore multimediale per il passeggero,Chiudi lettore multimediale per il passeggero.,0.0,0,0,0,0,6,4738.3,637.8,788.3,898.3,realtime,1.27,3.95,none,,,4.45,
it-IT_DT1,2l_it-IT_male-DT1/Chiudi Lettore multimediale per il passeggero.wav,fast_mai,it-IT,4.09,Chiudi Lettore multimediale per il passeggero,Chiudi lettore multimediale per il passeggero.,0.0,0,0,0,0,6,5094.8,994.3,1144.9,1004.9,realtime,1.27,3.95,none,,,4.45,
