dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
nl-NL_DT1,1r_nl-NL_male-DT1/052.Automatisch ontgrendelen van de deuren inschakelen bij parkeren.wav,realtime,nl-NL,5.52,Automatisch ontgrendelen van de deuren inschakelen bij parkeren,Automatisch ontgrendelen van de deuren inschakelen bij het parkeren.,0.125,1,1,0,0,8,1707.4,-314.5,436.0,436.0,realtime,1.21,4.85,none,1.21,4.85,,
nl-NL_DT1,1r_nl-NL_male-DT1/052.Automatisch ontgrendelen van de deuren inschakelen bij parkeren.wav,fast_mai,nl-NL,5.52,Automatisch ontgrendelen van de deuren inschakelen bij parkeren,Automatisch ontgrendelen van de deuren inschakelen bij parkeren.,0.0,0,0,0,0,8,5884.3,484.4,1034.5,534.5,realtime,1.21,4.85,none,,,5.35,
nl-NL_DT1,1r_nl-NL_male-DT1/052.Automatisch ontgrendelen van de deuren inschakelen bij parkeren.wav,whisper_v3,nl-NL,5.52,Automatisch ontgrendelen van de deuren inschakelen bij parkeren,Automatisch ontgrendelen van de deuren inschakelen bij het parkeren.,0.125,1,1,0,0,8,6734.5,1334.1,1884.7,1944.7,realtime,1.21,4.85,none,,,5.35,
nl-NL_DT1,1r_nl-NL_male-DT1/052.Automatisch ontgrendelen van de deuren inschakelen bij parkeren.wav,fast_default,nl-NL,5.52,Automatisch ontgrendelen van de deuren inschakelen bij parkeren,Automatisch ontgrendelen van de deuren inschakelen bij het parkeren.,0.125,1,1,0,0,8,6742.4,1342.0,1892.5,1952.5,realtime,1.21,4.85,none,,,5.35,
nl-NL_DT1,1l_nl-NL_male-DT1/079.Pas het beltoonvolume aan naar 5 niveaus.wav,realtime,nl-NL,4.78,Pas het beltoonvolume aan naar 5 niveaus,Ottomvol volume aan naar 5 niveaus.,0.4286,1,0,1,2,7,1117.9,38.0,708.5,708.5,realtime,1.93,4.13,none,1.93,4.13,,
nl-NL_DT1,1l_nl-NL_male-DT1/079.Pas het beltoonvolume aan naar 5 niveaus.wav,fast_mai,nl-NL,4.78,Pas het beltoonvolume aan naar 5 niveaus,Ontvangvolume aan naar 5 niveaus.,0.4286,1,0,2,1,7,5239.4,539.1,1109.6,609.6,realtime,1.93,4.13,none,,,4.63,
nl-NL_DT1,1l_nl-NL_male-DT1/079.Pas het beltoonvolume aan naar 5 niveaus.wav,whisper_v3,nl-NL,4.78,Pas het beltoonvolume aan naar 5 niveaus,Fotovolume aan naar 5 niveaus.,0.4286,1,0,2,1,7,7263.1,2562.9,3133.4,3153.4,realtime,1.93,4.13,none,,,4.63,
nl-NL_DT1,1l_nl-NL_male-DT1/079.Pas het beltoonvolume aan naar 5 niveaus.wav,fast_default,nl-NL,4.78,Pas het beltoonvolume aan naar 5 niveaus,Fotovolume aan naar 5 niveaus.,0.4286,1,0,2,1,7,10217.6,5517.1,6087.6,6107.6,realtime,1.93,4.13,none,,,4.63,
nl-NL_DT1,1r_nl-NL_male-DT1/114.Wijzig de routevoorkeur naar intelligente aanbeveling.wav,realtime,nl-NL,4.95,Wijzig de routevoorkeur naar intelligente aanbeveling,Wijzig de routevoorkeur naar intelligente aanbevelingen.,0.1667,1,0,0,1,6,1675.4,-114.9,655.6,655.6,realtime,1.27,4.23,none,1.27,4.23,,
nl-NL_DT1,1r_nl-NL_male-DT1/114.Wijzig de routevoorkeur naar intelligente aanbeveling.wav,fast_mai,nl-NL,4.95,Wijzig de routevoorkeur naar intelligente aanbeveling,Wijzig de routevoorkeur naar 'Intelligente aanbeveling'.,0.0,0,0,0,0,6,5321.5,520.9,1091.8,591.8,realtime,1.27,4.23,none,,,4.73,
