dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
pl-PL_DT1,2r_pl-PL_female-DT1/Ostatni.wav,realtime,pl-PL,4.3,Ostatni,Ostatni.,0.0,0,0,0,0,1,1610.5,-743.5,867.0,867.0,realtime,1.73,2.69,none,1.73,2.69,,
pl-PL_DT1,2r_pl-PL_female-DT1/Ostatni.wav,fast_mai,pl-PL,4.3,Ostatni,Ostatni.,0.0,0,0,0,0,1,3919.0,718.0,1229.1,729.1,realtime,1.73,2.69,none,,,3.19,
pl-PL_DT1,2r_pl-PL_female-DT1/Ostatni.wav,fast_default,pl-PL,4.3,Ostatni,Ostatni.,0.0,0,0,0,0,1,5091.7,1882.6,2401.8,2381.8,realtime,1.73,2.69,none,,,3.19,
pl-PL_DT1,2r_pl-PL_female-DT1/Ostatni.wav,whisper_v3,pl-PL,4.3,Ostatni,Ostatni.,0.0,0,0,0,0,1,5538.0,2335.0,2848.2,2828.2,realtime,1.73,2.69,none,,,3.19,
pl-PL_DT1,1l_pl-PL_female-DT1/Minimalne ogrzewanie siedzenia kierowcy.wav,realtime,pl-PL,5.8,Minimalne ogrzewanie siedzenia kierowcy,Minimalne ogrzewanie siedzenia kierowcy.,0.0,0,0,0,0,4,1433.9,-521.5,920.0,920.0,realtime,2.0,4.36,none,2.0,4.36,,
pl-PL_DT1,1l_pl-PL_female-DT1/Minimalne ogrzewanie siedzenia kierowcy.wav,fast_mai,pl-PL,5.8,Minimalne ogrzewanie siedzenia kierowcy,Minimalne ogrzewanie siedzenia kierowcy.,0.0,0,0,0,0,4,5341.6,441.2,981.7,481.7,realtime,2.0,4.36,none,,,4.86,
pl-PL_DT1,1l_pl-PL_female-DT1/Minimalne ogrzewanie siedzenia kierowcy.wav,fast_default,pl-PL,5.8,Minimalne ogrzewanie siedzenia kierowcy,Minimalne ogrzewanie siedzenia kierowcy.,0.0,0,0,0,0,4,5811.3,911.3,1451.5,1421.5,realtime,2.0,4.36,none,,,4.86,
pl-PL_DT1,1l_pl-PL_female-DT1/Minimalne ogrzewanie siedzenia kierowcy.wav,whisper_v3,pl-PL,5.8,Minimalne ogrzewanie siedzenia kierowcy,Minimalne ogrzewanie siedzenia kierowcy.,0.0,0,0,0,0,4,5923.3,1023.0,1563.4,1533.4,realtime,2.0,4.36,none,,,4.86,
pl-PL_DT1,2r_pl-PL_female-DT1/Włącz klimatyzację w trybie wentylacji.wav,realtime,pl-PL,5.8,Włącz klimatyzację w trybie wentylacji,Włącz klimatyzację w trybie wentylacji.,0.0,0,0,0,0,5,1404.0,-293.0,927.9,927.9,realtime,2.06,4.58,none,2.06,4.58,,
pl-PL_DT1,2r_pl-PL_female-DT1/Włącz klimatyzację w trybie wentylacji.wav,fast_mai,pl-PL,5.8,Włącz klimatyzację w trybie wentylacji,Włącz klimatyzację w trybie wentylacji.,0.0,0,0,0,0,5,5512.0,411.8,932.1,432.1,realtime,2.06,4.58,none,,,5.08,
pl-PL_DT1,2r_pl-PL_female-DT1/Włącz klimatyzację w trybie wentylacji.wav,whisper_v3,pl-PL,5.8,Włącz klimatyzację w trybie wentylacji,Włącz klimatyzację w trybie wentylacji.,0.0,0,0,0,0,5,5987.7,887.4,1408.0,1358.0,realtime,2.06,4.58,none,,,5.08,
pl-PL_DT1,2r_pl-PL_female-DT1/Włącz klimatyzację w trybie wentylacji.wav,fast_default,pl-PL,5.8,Włącz klimatyzację w trybie wentylacji,Włącz klimatyzację w trybie wentylacji.,0.0,0,0,0,0,5,6051.9,951.4,1472.0,1422.0,realtime,2.06,4.58,none,,,5.08,
pl-PL_DT1,1l_pl-PL_female-DT1/Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.wav,realtime,pl-PL,6.8,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.,0.0,0,0,0,0,8,1374.9,-628.9,931.8,931.8,realtime,1.92,5.24,none,1.92,5.24,,
pl-PL_DT1,1l_pl-PL_female-DT1/Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.wav,fast_mai,pl-PL,6.8,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.,0.0,0,0,0,0,8,6360.4,560.1,1120.5,620.5,realtime,1.92,5.24,none,,,5.74,
pl-PL_DT1,1l_pl-PL_female-DT1/Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.wav,whisper_v3,pl-PL,6.8,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.,0.0,0,0,0,0,8,6714.5,913.6,1474.5,1444.5,realtime,1.92,5.24,none,,,5.74,
pl-PL_DT1,1l_pl-PL_female-DT1/Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.wav,fast_default,pl-PL,6.8,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą,Ustaw temperaturę powietrza dla przedniego pasażera na najniższą.,0.0,0,0,0,0,8,6723.2,923.0,1483.4,1453.4,realtime,1.92,5.24,none,,,5.74,
pl-PL_DT1,1r_pl-PL_female-DT1/Otwórz tylną klapę.wav,realtime,pl-PL,4.8,Otwórz tylną klapę,"Odtwórz, tylną klapę.",0.3333,1,0,0,1,3,1376.8,-818.6,781.8,781.8,realtime,1.68,3.2,none,1.68,3.2,,
pl-PL_DT1,1r_pl-PL_female-DT1/Otwórz tylną klapę.wav,fast_mai,pl-PL,4.8,Otwórz tylną klapę,Otwórz tylną klapę.,0.0,0,0,0,0,3,4147.3,446.8,947.4,447.4,realtime,1.68,3.2,none,,,3.7,
pl-PL_DT1,1r_pl-PL_female-DT1/Otwórz tylną klapę.wav,whisper_v3,pl-PL,4.8,Otwórz tylną klapę,Otwórz tylną klapę.,0.0,0,0,0,0,3,4499.6,799.1,1299.7,1229.7,realtime,1.68,3.2,none,,,3.7,
pl-PL_DT1,1r_pl-PL_female-DT1/Otwórz tylną klapę.wav,fast_default,pl-PL,4.8,Otwórz tylną klapę,Otwórz tylną klapę.,0.0,0,0,0,0,3,4540.4,840.3,1340.5,1270.5,realtime,1.68,3.2,none,,,3.7,
pl-PL_DT1,1l_pl-PL_female-DT1/Wyłącz ogrzewanie kierownicy.wav,realtime,pl-PL,5.3,Wyłącz ogrzewanie kierownicy,Wyłącz ogrzewanie kierowcy.,0.3333,1,0,0,1,3,1162.6,-915.0,845.4,845.4,realtime,1.66,3.54,none,1.66,3.54,,
pl-PL_DT1,1l_pl-PL_female-DT1/Wyłącz ogrzewanie kierownicy.wav,fast_mai,pl-PL,5.3,Wyłącz ogrzewanie kierownicy,Wyłącz ogrzewanie kierowcy.,0.3333,1,0,0,1,3,4463.3,362.9,923.3,423.3,realtime,1.66,3.54,none,,,4.04,
