dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
sv-SE_DT1,1l_sv-SE_male-DT1/Byt visningsläge till mörkt.wav,realtime,sv-SE,5.3,Byt visningsläge till mörkt,Byt visningsläge till mörkt.,0.0,0,0,0,0,4,1466.3,-603.0,857.8,857.8,realtime,1.56,3.84,none,1.56,3.84,,
sv-SE_DT1,1l_sv-SE_male-DT1/Byt visningsläge till mörkt.wav,fast_mai,sv-SE,5.3,Byt visningsläge till mörkt,Byt visningsläge till mörkt.,0.0,0,0,0,0,4,4873.8,473.5,1034.0,534.0,realtime,1.56,3.84,none,,,4.34,
sv-SE_DT1,1l_sv-SE_male-DT1/Byt visningsläge till mörkt.wav,whisper_v3,sv-SE,5.3,Byt visningsläge till mörkt,Byt visningsläge till mörkt.,0.0,0,0,0,0,4,5319.4,919.4,1479.5,1409.5,realtime,1.56,3.84,none,,,4.34,
sv-SE_DT1,1l_sv-SE_male-DT1/Byt visningsläge till mörkt.wav,fast_default,sv-SE,5.3,Byt visningsläge till mörkt,Byt visningsläge till mörkt.,0.0,0,0,0,0,4,6077.9,1677.6,2238.0,2168.0,realtime,1.56,3.84,none,,,4.34,
sv-SE_DT1,1l_sv-SE_male-DT1/Slå på nödfilhållning.wav,realtime,sv-SE,5.3,Slå på nödfilhållning,Slå på nödhyror?,0.3333,1,0,0,1,3,1381.8,-695.2,1145.2,1145.2,realtime,1.78,3.46,none,1.78,3.46,,
sv-SE_DT1,1l_sv-SE_male-DT1/Slå på nödfilhållning.wav,fast_mai,sv-SE,5.3,Slå på nödfilhållning,Slå på nödfilen.,0.3333,1,0,0,1,3,4623.3,622.9,1163.6,663.6,realtime,1.78,3.46,none,,,3.96,
sv-SE_DT1,1l_sv-SE_male-DT1/Slå på nödfilhållning.wav,fast_default,sv-SE,5.3,Slå på nödfilhållning,Slå på nödflytta.,0.3333,1,0,0,1,3,4994.6,994.4,1534.8,1524.8,realtime,1.78,3.46,none,,,3.96,
sv-SE_DT1,1l_sv-SE_male-DT1/Slå på nödfilhållning.wav,whisper_v3,sv-SE,5.3,Slå på nödfilhållning,Slå på nödflytta.,0.3333,1,0,0,1,3,6119.6,2119.9,2660.1,2650.1,realtime,1.78,3.46,none,,,3.96,
sv-SE_DT1,2r_sv-SE_male-DT1/Sätesventilation till nivå 5.wav,realtime,sv-SE,6.3,Sätesventilation till nivå 5,Ställ in förarventilationen till nivå fel.,1.0,1,2,0,2,4,1411.5,-784.7,1055.8,1055.8,realtime,2.22,4.18,trim_both,1.86,4.46,,
sv-SE_DT1,2r_sv-SE_male-DT1/Sätesventilation till nivå 5.wav,fast_mai,sv-SE,6.3,Sätesventilation till nivå 5,Ställ in förarventilationen till nivå 5.,0.75,1,2,0,1,4,5182.1,482.2,1002.4,502.4,realtime,2.22,4.18,trim_both,,,4.68,
